,monto_original,saldo_capital,Cliente,ultima_gestion,cartera,tipo_cartera,descripcion_reaccion,tipo_trabajo,genero,ubicacion_electoral,salario_inferior,salario_superior,edad,Recuperable,year_ultimo_pago
76,825.48,825.48,93,2021,CITI,Propia,Promesa de Pago,PROPIO,MASC,HEREDIA,357.5,390.0,46,Si,2021
276,753.14,753.14,327,2021,CITI,Propia,Contacto sin Promesa,PUBLICO,FEM,LIMON,390.0,422.5,45,Si,0
330,20.54,10.31,388,0,CREDIQ,Propia,Traslado de cuenta (Distribución),PRIVADO,MASC,PUNTARENAS,162.5,195.0,30,Si,2020
428,682.22,682.22,498,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,GUANACASTE,1365.0,1397.5,50,Si,2021
460,1246.21,1246.21,537,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,780.0,812.5,28,Si,2021
517,1734.74,1734.74,603,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,292.5,325.0,29,Si,2021
534,1377.24,1377.24,625,2015,Legal,Propia,Traslado de cuenta (Distribución),PROPIO,MASC,LIMON,422.5,455.0,53,Si,0
644,1582.2,1582.2,756,2021,CITI,Propia,Promesa de Pago,PUBLICO,FEM,LIMON,1365.0,1397.5,59,Si,2021
872,508.75,508.75,1008,2021,CITI,Propia,Promesa de Pago,PUBLICO,FEM,SAN JOSE,292.5,325.0,67,Si,2021
875,291.17,291.17,1013,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,LIMON,195.0,227.5,49,Si,2021
1112,3500.92,3500.92,1276,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,942.5,975.0,54,Si,2021
1127,1377.24,1377.24,1291,2013,Legal,Propia,Traslado de cuenta (Distribución),PRIVADO,MASC,LIMON,292.5,325.0,41,Si,0
1135,1377.24,1377.24,1299,2015,Legal,Propia,Traslado de cuenta (Distribución),PRIVADO,MASC,HEREDIA,585.0,617.5,52,Si,0
1169,624.47,624.47,1341,2021,SERVIVALORES,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,325.0,357.5,50,Si,2021
1212,507.79,80.4,1388,2021,CITI,Propia,Promesa de Pago,PROPIO,FEM,ALAJUELA,292.5,325.0,54,Si,2021
1255,762.71,762.71,1434,2021,SERVIVALORES,Propia,Promesa de Pago,PUBLICO,FEM,LIMON,260.0,292.5,47,Si,2021
1287,701.05,701.05,1476,2021,CITI,Propia,Promesa de Pago,PUBLICO,MASC,LIMON,747.5,780.0,63,Si,2021
1555,351.52,351.52,1763,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,LIMON,357.5,390.0,60,Si,2021
1592,3618.91,3618.91,1800,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,ALAJUELA,487.5,520.0,31,Si,2021
1746,741.96,741.96,1968,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,PUNTARENAS,390.0,422.5,34,Si,2021
1778,1107.15,1107.15,2002,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,2080.0,2112.5,45,Si,2021
1787,694.92,587.63,2011,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,97.5,130.0,45,Si,2021
1793,1377.24,1377.24,2017,0,Legal,Propia,Traslado de cuenta (Distribución),PRIVADO,MASC,SAN JOSE,1300.0,1332.5,32,Si,0
1810,828.75,295.38,2037,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,LIMON,292.5,325.0,62,Si,2021
